P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-191 c,3.0,,,,1.86086,-0.91922,0.91922,2014,2014-05-14,17.738506,-8.2e-05,8.2e-05,0.128,,,,,,,,,,,,,,,0.212,0.14,-0.22,0.22,,,,,Transit,,,,,Kepler-191,291.18339,45.323177,14.808,604.75,-8.1,8.1,,,,,,,0.79,-0.39,0.39,,,,,5282.0,-200.0,200.0,,,4.59,",",,,,,,0.128,0.128,0.128,0.128,26.565407,26.565407,26.565407,578.39433,578.39433,578.39433,Superterran,0.79,K,19.412227,19 24 44.0163,+45 19 23.4372,0.43524763,0.50939488,1.2186422,0.64521999,1.155383,0.68261386,1.155383,0.62287504,1.155383,1.7812791,,,0,0,Hot,0,0.31054323,Cygnus,Cyg,Swan,1.86086,4.1210313,0.128
Kepler-191 d,3.0,,,,2.27563,-0.13452,0.15694,2016,2016-05-10,5.945041,-7.63e-06,7.63e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-191,291.18339,45.323177,14.808,604.75,-8.1,8.1,,,,,,,0.79,-0.39,0.39,,,,,5282.0,-200.0,200.0,,,4.59,",",,,,,,,,,,,,,,,,Superterran,0.79,K,19.412227,19 24 44.0163,+45 19 23.4372,0.43524763,0.50939488,1.2186422,0.64521999,1.155383,0.68261386,1.155383,0.62287504,1.155383,1.7812791,,,0,0,,0,,Cygnus,Cyg,Swan,2.27563,5.7992597,
Kepler-192 b,3.0,,,,2.73524,-0.4484,0.4484,2014,2014-05-14,9.926746,-1.8e-05,1.8e-05,0.09,,,,,,,,,,,,,,,0.136,0.38,-0.23,0.23,,,,,Transit,,,,,Kepler-192,287.91792,45.592876,14.129,664.14,-6.95,6.95,,,,,,,1.01,-0.16,0.16,,,,,5479.0,-100.0,100.0,,,4.43,",",,,,,,0.09,0.09,0.09,0.090000002,101.68376,101.68376,101.68376,809.01729,809.01729,809.01729,Neptunian,1.01,G,19.194529,19 11 40.3054,+45 35 34.3536,0.82363842,0.69313834,1.6473181,0.87795261,1.5618069,0.92864738,1.5618069,0.84752911,1.5618069,2.4503723,,,0,0,Hot,0,0.23278426,Lyra,Lyr,Lyre,2.73524,7.9252992,0.09
Kepler-192 c,3.0,,,,2.79129,-0.51566,0.51566,2014,2014-05-14,21.2234,-7.6e-05,7.6e-05,0.15,,,,,,,,,,,,,,,0.226,0.82,-0.31,0.31,,,,,Transit,,,,,Kepler-192,287.91792,45.592876,14.129,664.14,-6.95,6.95,,,,,,,1.01,-0.16,0.16,,,,,5479.0,-100.0,100.0,,,4.43,",",,,,,,0.15,0.15,0.15,0.15,36.606152,36.606152,36.606152,626.6621,626.6621,626.6621,Neptunian,1.01,G,19.194529,19 11 40.3054,+45 35 34.3536,0.82363842,0.69313834,1.6473181,0.87795261,1.5618069,0.92864738,1.5618069,0.84752911,1.5618069,2.4503723,,,0,0,Hot,0,0.25177026,Lyra,Lyr,Lyre,2.79129,8.2029943,0.15
Kepler-192 d,3.0,,,,1.02011,-0.06726,0.10089,2016,2016-05-10,6.4702758,-4.32e-05,4.32e-05,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-192,287.91792,45.592876,14.129,664.14,-6.95,6.95,,,,,,,1.01,-0.16,0.16,,,,,5479.0,-100.0,100.0,,,4.43,",",,,,,,,,,,,,,,,,Terran,1.01,G,19.194529,19 11 40.3054,+45 35 34.3536,0.82363842,0.69313834,1.6473181,0.87795261,1.5618069,0.92864738,1.5618069,0.84752911,1.5618069,2.4503723,,,0,0,,0,,Lyra,Lyr,Lyre,1.02011,1.0437331,
Kepler-193 b,3.0,,,,2.38773,-1.07616,1.07616,2014,2014-05-14,11.38848,-5.4e-05,5.4e-05,0.106,,,,,,,,,,,,,,,0.102,0.12,-0.23,0.23,,,,,Transit,,,,,Kepler-193,296.4986,46.577244,14.615,1038.87,-23.57,23.57,,,,,,,1.15,-0.52,0.52,,,,,6335.0,-200.0,200.0,,,4.4,",",,,,,,0.106,0.106,0.106,0.106,169.84747,169.84747,169.84747,919.72857,919.72857,919.72857,Superterran,1.15,F,19.766574,19 45 59.6668,+46 34 38.0784,1.9084061,1.0022679,2.3326897,1.269477,2.2116026,1.3417877,2.2116026,1.2253287,2.2116026,3.7299171,,,0,0,Hot,0,0.24351984,Cygnus,Cyg,Swan,2.38773,6.2925768,0.106
Kepler-193 c,3.0,,,,2.74645,-1.24431,1.24431,2014,2014-05-14,50.697494,-0.000446,0.000446,0.286,,,,,,,,,,,,,,,0.275,0.06,-0.22,0.22,,,,,Transit,,,,,Kepler-193,296.4986,46.577244,14.615,1038.87,-23.57,23.57,,,,,,,1.15,-0.52,0.52,,,,,6335.0,-200.0,200.0,,,4.4,",",,,,,,0.286,0.286,0.286,0.28600001,23.331289,23.331289,23.331289,559.92466,559.92466,559.92466,Neptunian,1.15,F,19.766574,19 45 59.6668,+46 34 38.0784,1.9084061,1.0022679,2.3326897,1.269477,2.2116026,1.3417877,2.2116026,1.2253287,2.2116026,3.7299171,,,0,0,Hot,0,0.27210386,Cygnus,Cyg,Swan,2.74645,7.9805236,0.286
Kepler-194 b,3.0,,,,1.51335,-0.7847,0.7847,2014,2014-05-14,2.092281,-8e-06,8e-06,0.032,,,,,,,,,,,,,,,0.0282,0.13,-0.24,0.24,,,,,Transit,,,,,Kepler-194,291.97145,47.864174,14.915,1133.48,-29.68,29.68,,,,,,,1.02,-0.54,0.54,,,,,6089.0,-200.0,200.0,,,4.42,",",,,,,,0.032,0.032,0.032,0.032000001,1251.3331,1251.3331,1251.3331,1515.2634,1515.2634,1515.2634,Superterran,1.02,F,19.464764,19 27 53.1505,+47 51 51.0264,1.2813651,0.83359676,1.9493727,1.0558445,1.8481828,1.1161996,1.8481828,1.0191655,1.8481828,3.0563298,,,0,0,Hot,0,0.27940085,Cygnus,Cyg,Swan,1.51335,2.9012671,0.032
Kepler-194 c,3.0,,,,2.58951,-1.35641,1.35641,2014,2014-05-14,17.308032,-7.9e-05,7.9e-05,0.131,,,,,,,,,,,,,,,0.116,0.08,-0.21,0.21,,,,,Transit,,,,,Kepler-194,291.97145,47.864174,14.915,1133.48,-29.68,29.68,,,,,,,1.02,-0.54,0.54,,,,,6089.0,-200.0,200.0,,,4.42,",",,,,,,0.131,0.131,0.131,0.131,74.667274,74.667274,74.667274,748.9063,748.9063,748.9063,Neptunian,1.02,F,19.464764,19 27 53.1505,+47 51 51.0264,1.2813651,0.83359676,1.9493727,1.0558445,1.8481828,1.1161996,1.8481828,1.0191655,1.8481828,3.0563298,,,0,0,Hot,0,0.24371767,Cygnus,Cyg,Swan,2.58951,7.2218056,0.131
Kepler-194 d,3.0,,,,2.39894,-1.25552,1.25552,2014,2014-05-14,52.814973,-0.000481,0.000481,0.275,,,,,,,,,,,,,,,0.243,0.18,-0.21,0.21,,,,,Transit,,,,,Kepler-194,291.97145,47.864174,14.915,1133.48,-29.68,29.68,,,,,,,1.02,-0.54,0.54,,,,,6089.0,-200.0,200.0,,,4.42,",",,,,,,0.275,0.275,0.275,0.27500001,16.943671,16.943671,16.943671,516.8884,516.8884,516.8884,Superterran,1.02,F,19.464764,19 27 53.1505,+47 51 51.0264,1.2813651,0.83359676,1.9493727,1.0558445,1.8481828,1.1161996,1.8481828,1.0191655,1.8481828,3.0563298,,,0,0,Hot,0,0.30757579,Cygnus,Cyg,Swan,2.39894,6.3428164,0.275
Kepler-195 b,3.0,,,,2.02901,-0.73986,0.73986,2014,2014-05-14,8.307872,-2e-05,2e-05,0.077,,,,,,,,,,,,,,,0.116,0.05,-0.2,0.2,,,,,Transit,,,,,Kepler-195,288.12096,47.966667,14.813,664.47,-9.05,9.05,,,,,,,0.78,-0.28,0.28,,,,,5329.0,-200.0,200.0,,,4.6,",",,,,,,0.077,0.077,0.077,0.077000002,74.144558,74.144558,74.144558,747.59215,747.59215,747.59215,Superterran,0.78,G,19.208065,19 12 29.0345,+47 58 00.0012,0.43960309,0.5106377,1.2196211,0.64679347,1.1563112,0.6842449,1.1563112,0.62439102,1.1563112,1.7901694,,,0,0,Hot,0,0.27099859,Cygnus,Cyg,Swan,2.02901,4.773015,0.077
Kepler-195 c,3.0,,,,1.54698,-0.57171,0.57171,2014,2014-05-14,34.096863,-0.000371,0.000371,0.197,,,,,,,,,,,,,,,0.296,0.29,-0.23,0.23,,,,,Transit,,,,,Kepler-195,288.12096,47.966667,14.813,664.47,-9.05,9.05,,,,,,,0.78,-0.28,0.28,,,,,5329.0,-200.0,200.0,,,4.6,",",,,,,,0.197,0.197,0.197,0.197,11.327349,11.327349,11.327349,467.38738,467.38738,467.38738,Superterran,0.78,G,19.208065,19 12 29.0345,+47 58 00.0012,0.43960309,0.5106377,1.2196211,0.64679347,1.1563112,0.6842449,1.1563112,0.62439102,1.1563112,1.7901694,,,0,0,Hot,0,0.38846072,Cygnus,Cyg,Swan,1.54698,3.011575,0.197
Kepler-196 b,3.0,,,,1.9057,-0.14573,0.14573,2014,2014-05-14,20.739886,-6.6e-05,6.6e-05,0.138,,,,,,,,,,,,,,,0.302,0.29,-0.23,0.23,,,,,Transit,,,,,Kepler-196,284.96852,42.079205,14.157,457.26,-3.19,3.19,,,,,,,0.78,-0.06,0.06,,,,,5128.0,-100.0,100.0,,,4.57,",",,,,,,0.138,0.138,0.138,0.138,19.793005,19.793005,19.793005,537.36929,537.36929,537.36929,Superterran,0.78,K,18.997902,18 59 52.4481,+42 04 45.1380,0.376938,0.47786994,1.1496592,0.60529128,1.0899805,0.64047714,1.0899805,0.58433704,1.0899805,1.6576725,,,0,0,Hot,0,0.32396937,Lyra,Lyr,Lyre,1.9057,4.2910395,0.138
Kepler-196 c,3.0,,,,2.242,-0.16815,0.16815,2014,2014-05-14,47.427737,-0.000223,0.000223,0.24,,,,,,,,,,,,,,,0.525,0.09,-0.21,0.21,,,,,Transit,,,,,Kepler-196,284.96852,42.079205,14.157,457.26,-3.19,3.19,,,,,,,0.78,-0.06,0.06,,,,,5128.0,-100.0,100.0,,,4.57,",",,,,,,0.24,0.24,0.24,0.24000001,6.5440624,6.5440624,6.5440624,407.48044,407.48044,407.48044,Superterran,0.78,K,18.997902,18 59 52.4481,+42 04 45.1380,0.376938,0.47786994,1.1496592,0.60529128,1.0899805,0.64047714,1.0899805,0.58433704,1.0899805,1.6576725,,,0,0,Hot,0,0.41398476,Lyra,Lyr,Lyre,2.242,5.6545043,0.24
Kepler-197 b,3.0,,,,1.02011,-0.04484,0.04484,2014,2014-05-14,5.599308,-2.3e-05,2.3e-05,0.06,,,,,,,,,,,,,,,0.18,0.22,-0.21,0.21,,,,,Transit,,,,,Kepler-197,295.22643,50.559006,11.811,333.75,-2.36,2.36,,,,,,,1.12,-0.03,0.03,,,,,6004.0,-102.0,102.0,,,4.3,",",,,,,,0.06,0.06,0.06,0.060000002,405.68124,405.68124,405.68124,1143.3814,1143.3814,1143.3814,Terran,1.12,F,19.681763,19 40 54.3481,+50 33 32.4216,1.4604525,0.89457561,2.0958906,1.1330838,1.987095,1.1979375,1.987095,1.0937363,1.987095,3.262928,,,0,0,Hot,0,0.29633547,Cygnus,Cyg,Swan,1.02011,1.0437331,0.06
Kepler-197 c,3.0,,,,1.2331,-0.04484,0.04484,2014,2014-05-14,10.349695,-4.5e-05,4.5e-05,0.09,,,,,,,,,,,,,,,0.27,0.22,-0.21,0.21,,,,,Transit,,,,,Kepler-197,295.22643,50.559006,11.811,333.75,-2.36,2.36,,,,,,,1.12,-0.03,0.03,,,,,6004.0,-102.0,102.0,,,4.3,",",,,,,,0.09,0.09,0.09,0.090000002,180.30277,180.30277,180.30277,933.56704,933.56704,933.56704,Terran,1.12,F,19.681763,19 40 54.3481,+50 33 32.4216,1.4604525,0.89457561,2.0958906,1.1330838,1.987095,1.1979375,1.987095,1.0937363,1.987095,3.262928,,,0,0,Hot,0,0.29680901,Cygnus,Cyg,Swan,1.2331,2.0491991,0.09
Kepler-197 d,3.0,,,,1.22189,-0.10089,0.10089,2014,2014-05-14,15.677563,-9.6e-05,9.6e-05,0.119,,,,,,,,,,,,,,,0.357,0.66,-0.34,0.34,,,,,Transit,,,,,Kepler-197,295.22643,50.559006,11.811,333.75,-2.36,2.36,,,,,,,1.12,-0.03,0.03,,,,,6004.0,-102.0,102.0,,,4.3,",",,,,,,0.119,0.119,0.119,0.119,103.13202,103.13202,103.13202,811.8827,811.8827,811.8827,Terran,1.12,F,19.681763,19 40 54.3481,+50 33 32.4216,1.4604525,0.89457561,2.0958906,1.1330838,1.987095,1.1979375,1.987095,1.0937363,1.987095,3.262928,,,0,0,Hot,0,0.3028884,Cygnus,Cyg,Swan,1.22189,1.9931486,0.119
Kepler-197 e,3.0,,,,0.90801,-0.04484,0.04484,2014,2014-05-14,25.209715,-0.000387,0.000387,0.164,,,,,,,,,,,,,,,0.491,0.14,-0.23,0.23,,,,,Transit,,,,,Kepler-197,295.22643,50.559006,11.811,333.75,-2.36,2.36,,,,,,,1.12,-0.03,0.03,,,,,6004.0,-102.0,102.0,,,4.3,",",,,,,,0.164,0.164,0.164,0.164,54.299988,54.299988,54.299988,691.58385,691.58385,691.58385,Terran,1.12,F,19.681763,19 40 54.3481,+50 33 32.4216,1.4604525,0.89457561,2.0958906,1.1330838,1.987095,1.1979375,1.987095,1.0937363,1.987095,3.262928,,,0,0,Hot,0,0.3176146,Cygnus,Cyg,Swan,0.90801,0.68767595,0.164
Kepler-198 b,3.0,,,,2.82492,-0.41477,0.41477,2014,2014-05-14,17.790037,-3.5e-05,3.5e-05,0.131,,,,,,,,,,,,,,,0.261,0.03,-0.19,0.19,,,,,Transit,,,,,Kepler-198,290.67313,38.691011,13.597,502.52,-4.34,4.34,,,,,,,0.94,-0.14,0.14,,,,,5574.0,-100.0,100.0,,,4.47,",",,,,,,0.131,0.131,0.131,0.131,44.531735,44.531735,44.531735,658.13095,658.13095,658.13095,Neptunian,0.94,G,19.37821,19 22 41.5548,+38 41 27.6396,0.76420911,0.66402395,1.5734916,0.84107327,1.4918128,0.88955593,1.4918128,0.81191784,1.4918128,2.3603145,,,0,0,Hot,0,0.24444866,Lyra,Lyr,Lyre,2.82492,8.3714933,0.131
Kepler-198 c,3.0,,,,2.4662,-0.36993,0.36993,2014,2014-05-14,49.567416,-0.00022,0.00022,0.259,,,,,,,,,,,,,,,0.515,0.4,-0.23,0.23,,,,,Transit,,,,,Kepler-198,290.67313,38.691011,13.597,502.52,-4.34,4.34,,,,,,,0.94,-0.14,0.14,,,,,5574.0,-100.0,100.0,,,4.47,",",,,,,,0.259,0.259,0.259,0.25900001,11.392333,11.392333,11.392333,468.05628,468.05628,468.05628,Superterran,0.94,G,19.37821,19 22 41.5548,+38 41 27.6396,0.76420911,0.66402395,1.5734916,0.84107327,1.4918128,0.88955593,1.4918128,0.81191784,1.4918128,2.3603145,,,0,0,Hot,0,0.33584833,Lyra,Lyr,Lyre,2.4662,6.6476898,0.259
Kepler-198 d,3.0,,,,1.52456,-0.06726,0.08968,2016,2016-05-10,1.3118444,-1.33e-06,1.33e-06,,,,,,,,,,,,,,,,,,,,,,,,Transit,,,,,Kepler-198,290.67313,38.691011,13.597,502.52,-4.34,4.34,,,,,,,0.94,-0.14,0.14,,,,,5574.0,-100.0,100.0,,,4.47,",",,,,,,,,,,,,,,,,Superterran,0.94,G,19.37821,19 22 41.5548,+38 41 27.6396,0.76420911,0.66402395,1.5734916,0.84107327,1.4918128,0.88955593,1.4918128,0.81191784,1.4918128,2.3603145,,,0,0,,0,,Lyra,Lyr,Lyre,1.52456,2.9378483,
Kepler-199 b,3.0,,,,3.10517,-0.5605,0.5605,2014,2014-05-14,23.637604,-5e-05,5e-05,0.158,,,,,,,,,,,,,,,0.299,0.15,-0.2,0.2,,,,,Transit,,,,,Kepler-199,295.55942,40.236271,13.595,528.99,-4.32,4.32,,,,,,,0.97,-0.17,0.17,,,,,5644.0,-117.0,117.0,,,4.44,",",,,,,,0.158,0.158,0.158,0.158,34.266201,34.266201,34.266201,616.39825,616.39825,616.39825,Neptunian,0.97,G,19.703962,19 42 14.2643,+40 14 10.5756,0.85542145,0.69966076,1.6545164,0.88621031,1.5686318,0.93723241,1.5686318,0.85548207,1.5686318,2.497203,,,0,0,Hot,0,0.24080087,Cygnus,Cyg,Swan,3.10517,9.8298521,0.158
Kepler-199 c,3.0,,,,3.2509,-0.58292,0.58292,2014,2014-05-14,67.093408,-0.00019,0.00019,0.316,,,,,,,,,,,,,,,0.597,0.13,-0.2,0.2,,,,,Transit,,,,,Kepler-199,295.55942,40.236271,13.595,528.99,-4.32,4.32,,,,,,,0.97,-0.17,0.17,,,,,5644.0,-117.0,117.0,,,4.44,",",,,,,,0.316,0.316,0.316,0.31600001,8.5665503,8.5665503,8.5665503,435.85939,435.85939,435.85939,Neptunian,0.97,G,19.703962,19 42 14.2643,+40 14 10.5756,0.85542145,0.69966076,1.6545164,0.88621031,1.5686318,0.93723241,1.5686318,0.85548207,1.5686318,2.497203,,,0,0,Hot,0,0.32696004,Cygnus,Cyg,Swan,3.2509,10.625858,0.316
Kepler-20 b,3.0,9.7001106,-1.4397609,1.4111563,1.87207,-0.03363,0.06726,2011,2017-03-30,3.6961153,-8.7e-07,1.15e-06,0.0463,-0.0015,0.0009,0.03,-0.03,0.09,87.355,-1.594,0.215,,,,,,,0.163,,,,,,,,Transit,,,,,Kepler-20,287.698,42.338726,12.51,284.88,-1.78,1.78,0.07,-0.08,0.08,0.95,-0.05,0.05,0.96,-0.02,0.02,,7.6,-3.7,3.7,5495.0,-50.0,50.0,,,4.45,",",2.2762885,5.1814893,2.7677861,1.4784629,0.00097459073,0.046320835,0.044911,0.047689,0.046305215,351.34634,331.02856,373.24711,1102.822,1086.704,1119.8092,Superterran,0.96,G,19.179868,19 10 47.5246,+42 20 19.4136,0.75283864,0.66207387,1.5726938,0.83860496,1.4910563,0.88701366,1.4910563,0.80954335,1.4910563,2.3426894,1.2264225,0.49309997,0,0,Hot,0,0.26485517,Lyra,Lyr,Lyre,1.87207,9.7001106,0.0463
Kepler-20 c,3.0,12.751259,-2.2406874,2.1707653,3.04912,-0.05605,0.06726,2011,2017-03-30,10.854091,-2.6e-06,3.03e-06,0.0949,-0.0023,0.0027,0.16,-0.09,0.01,89.815,-0.632,0.036,,,,,,,0.333,,,,,,,,Transit,,,,,Kepler-20,287.698,42.338726,12.51,284.88,-1.78,1.78,0.07,-0.08,0.08,0.95,-0.05,0.05,0.96,-0.02,0.02,,7.6,-3.7,3.7,5495.0,-50.0,50.0,,,4.45,",",2.044981,4.1819474,1.371526,0.44981044,0.0018949911,0.09611472,0.079716,0.110084,0.095206269,84.683897,62.123154,118.47069,769.10851,715.25069,840.51919,Neptunian,0.96,G,19.179868,19 10 47.5246,+42 20 19.4136,0.75283864,0.66207387,1.5726938,0.83860496,1.4910563,0.88701366,1.4910563,0.80954335,1.4910563,2.3426894,1.2264225,0.49309997,0,0,Hot,0,0.22219415,Lyra,Lyr,Lyre,3.04912,12.751259,0.0949
Kepler-20 e,3.0,,,,0.86317,-0.02242,0.02242,2011,2017-03-30,6.0985228,-1.351e-05,6.08e-06,0.0639,-0.0014,0.0019,,,,87.632,-0.128,1.085,,,,,,,0.224,,,,,,,,Transit,,,,,Kepler-20,287.698,42.338726,12.51,284.88,-1.78,1.78,0.07,-0.08,0.08,0.95,-0.05,0.05,0.96,-0.02,0.02,,7.6,-3.7,3.7,5495.0,-50.0,50.0,,,4.45,",",,,,,,0.0639,0.0639,0.0639,0.063900002,184.37421,184.37421,184.37421,938.79324,938.79324,938.79324,Terran,0.96,G,19.179868,19 10 47.5246,+42 20 19.4136,0.75283864,0.66207387,1.5726938,0.83860496,1.4910563,0.88701366,1.4910563,0.80954335,1.4910563,2.3426894,1.2264225,0.49309997,0,0,Hot,0,0.29859722,Lyra,Lyr,Lyre,0.86317,0.57352358,0.0639
Kepler-20 f,3.0,,,,0.99769,-0.08968,0.04484,2011,2017-03-30,19.577585,-0.00012256,9.037e-05,0.1396,-0.0035,0.0036,,,,88.788,-0.072,0.426,,,,,,,0.49,,,,,,,,Transit,,,,,Kepler-20,287.698,42.338726,12.51,284.88,-1.78,1.78,0.07,-0.08,0.08,0.95,-0.05,0.05,0.96,-0.02,0.02,,7.6,-3.7,3.7,5495.0,-50.0,50.0,,,4.45,",",,,,,,0.1396,0.1396,0.1396,0.1396,38.630565,38.630565,38.630565,635.15201,635.15201,635.15201,Terran,0.96,G,19.179868,19 10 47.5246,+42 20 19.4136,0.75283864,0.66207387,1.5726938,0.83860496,1.4910563,0.88701366,1.4910563,0.80954335,1.4910563,2.3426894,1.2264225,0.49309997,0,0,Hot,0,0.32857765,Lyra,Lyr,Lyre,0.99769,0.96382171,0.1396
Kepler-20 g,3.0,19.959599,-3.6105261,3.0797533,,,,2016,2017-03-30,34.94,-0.035,0.038,0.2055,-0.0021,0.0022,0.15,-0.1,0.01,,,,,,,,,,0.721,,,,,,,,Radial Velocity,,,,,Kepler-20,287.698,42.338726,12.51,284.88,-1.78,1.78,0.07,-0.08,0.08,0.95,-0.05,0.05,0.96,-0.02,0.02,,7.6,-3.7,3.7,5495.0,-50.0,50.0,,,4.45,",",,,,,0.0048212392,0.20781187,0.174675,0.236325,0.2060823,18.031002,13.479773,24.674047,522.75722,488.16378,567.81258,Neptunian,0.96,G,19.179868,19 10 47.5246,+42 20 19.4136,0.75283864,0.66207387,1.5726938,0.83860496,1.4910563,0.88701366,1.4910563,0.80954335,1.4910563,2.3426894,1.2264225,0.49309997,0,0,Hot,0,0.21794179,Lyra,Lyr,Lyre,4.7126436,19.959599,0.2055
Kepler-200 b,3.0,,,,2.1299,-0.41477,0.41477,2014,2014-05-14,8.594805,-3.6e-05,3.6e-05,0.08,,,,,,,,,,,,,,,0.118,0.93,-0.33,0.33,,,,,Transit,,,,,Kepler-200,284.40992,41.237465,13.984,678.93,-7.37,7.37,,,,,,,0.94,-0.16,0.16,,,,,5678.0,-100.0,100.0,,,4.45,",",,,,,,0.08,0.08,0.08,0.080000002,128.57186,128.57186,128.57186,857.88958,857.88958,857.88958,Superterran,0.94,G,18.960662,18 57 38.3844,+41 14 14.8740,0.82285991,0.68483742,1.6178888,0.86743385,1.5339056,0.91734576,1.5339056,0.83735267,1.5339056,2.449214,,,0,0,Hot,0,0.25848475,Lyra,Lyr,Lyre,2.1299,5.1829123,0.08
Kepler-200 c,3.0,,,,1.59182,-0.29146,0.29146,2014,2014-05-14,10.222157,-5.3e-05,5.3e-05,0.09,,,,,,,,,,,,,,,0.133,0.74,-0.09,0.09,,,,,Transit,,,,,Kepler-200,284.40992,41.237465,13.984,678.93,-7.37,7.37,,,,,,,0.94,-0.16,0.16,,,,,5678.0,-100.0,100.0,,,4.45,",",,,,,,0.09,0.09,0.09,0.090000002,101.58764,101.58764,101.58764,808.82605,808.82605,808.82605,Superterran,0.94,G,18.960662,18 57 38.3844,+41 14 14.8740,0.82285991,0.68483742,1.6178888,0.86743385,1.5339056,0.91734576,1.5339056,0.83735267,1.5339056,2.449214,,,0,0,Hot,0,0.28812613,Lyra,Lyr,Lyre,1.59182,3.1612732,0.09
Kepler-201 b,3.0,,,,2.45499,-0.48203,0.48203,2014,2014-05-14,25.672083,-7.5e-05,7.5e-05,0.175,,,,,,,,,,,,,,,0.27,0.38,-0.21,0.21,,,,,Transit,,,,,Kepler-201,293.62604,41.272827,13.004,648.18,-9.91,9.91,,,,,,,1.23,-0.24,0.24,,,,,6065.0,-117.0,117.0,,,4.29,",",,,,,,0.175,0.175,0.175,0.175,59.888853,59.888853,59.888853,708.73097,708.73097,708.73097,Superterran,1.23,F,19.57507,19 34 30.2533,+41 16 22.1772,1.8340961,0.99877317,2.3368451,1.2650599,2.2155419,1.3374004,2.2155419,1.2211176,2.2155419,3.6565778,,,0,0,Hot,0,0.25410006,Cygnus,Cyg,Swan,2.45499,6.5964694,0.175
Kepler-201 c,3.0,,,,2.84734,-0.60534,0.60534,2014,2014-05-14,151.88406,-0.002014,0.002014,0.573,,,,,,,,,,,,,,,0.884,0.92,-0.32,0.32,,,,,Transit,,,,,Kepler-201,293.62604,41.272827,13.004,648.18,-9.91,9.91,,,,,,,1.23,-0.24,0.24,,,,,6065.0,-117.0,117.0,,,4.29,",",,,,,,0.573,0.573,0.573,0.57300001,5.5861533,5.5861533,5.5861533,391.67254,391.67254,391.67254,Neptunian,1.23,F,19.57507,19 34 30.2533,+41 16 22.1772,1.8340961,0.99877317,2.3368451,1.2650599,2.2155419,1.3374004,2.2155419,1.2211176,2.2155419,3.6565778,,,0,0,Hot,0,0.40190594,Cygnus,Cyg,Swan,2.84734,8.4846077,0.573
